1 1 0 1 0.22 0.675		1 0 0 0	Up
1 0 1 1 0.23 0.675		0 0 1 0	Left
1 0 1 0 0.23 0.675		0 0 1 0	Left
1 1 1 0 0.23 0.675		0 1 0 0	Down
0 1 1 0 0.23 0.675		0 1 0 0	Down
0 1 1 0 0.23 0.500		0 0 1 0	Left
1 1 1 0 0.23 0.500		1 0 0 0	Up
1 0 1 0 0.23 0.675		1 0 0 0	Up
1 0 1 0 0.24 0.675		0 0 1 0	Left
1 1 1 0 0.24 0.750		0 1 0 0	Down
0 1 1 0 0.24 0.750		0 1 0 0	Down
0 1 1 0 0.24 0.125		0 0 1 0	Left
1 1 1 0 0.24 0.125		1 0 0 0	Up
1 0 1 0 0.25 0.125		1 0 0 0	Up
1 0 1 0 0.25 0.125		0 0 0 1	Right
1 0 1 1 0.03 0.375		1 0 0 0	Up
1 0 1 1 0.03 0.375		1 0 0 0	Up
1 0 1 1 0.03 0.375		1 0 0 0	Up
1 0 1 1 0.03 0.375		1 0 0 0	Up
1 0 1 1 0.03 0.375		1 0 0 0	Up
1 0 1 1 0.03 0.375		1 0 0 0	Up
1 0 1 1 0.03 0.500		0 0 1 0	Left
1 1 1 0 0.03 0.500		0 0 1 0	Left
1 1 1 0 0.03 0.500		0 0 1 0	Left
1 1 1 0 0.03 0.875		0 1 0 0	Down
0 1 1 1 0.03 0.875		0 1 0 0	Down
0 1 1 1 0.04 0.875		0 1 0 0	Down
0 1 1 1 0.04 0.875		0 1 0 0	Down
0 1 1 1 0.04 0.875		0 1 0 0	Down
0 1 1 1 0.04 0.875		0 1 0 0	Down
0 1 1 1 0.04 0.875		0 1 0 0	Down
0 1 1 1 0.04 0.000		0 0 0 1	Right
1 1 0 1 0.04 0.000		0 0 0 1	Right
1 1 0 1 0.04 0.000		0 0 0 1	Right
1 1 0 1 0.04 0.000		0 0 0 1	Right
1 1 0 1 0.04 0.000		0 0 0 1	Right
1 1 0 1 0.04 0.250		1 0 0 0	Up
1 0 1 1 0.04 0.250		1 0 0 0	Up
1 0 1 1 0.05 0.875		1 0 0 0	Up
1 0 1 1 0.05 0.875		0 0 0 1	Right
1 1 0 1 0.06 0.750		0 1 0 0	Down
0 1 0 1 0.06 0.750		0 1 0 0	Down
0 1 0 1 0.06 0.750		0 1 0 0	Down
0 1 1 1 0.06 0.375		0 0 1 0	Left
1 1 1 0 0.06 0.375		0 0 1 0	Left
1 1 1 0 0.07 0.375		0 0 1 0	Left
1 1 1 0 0.07 0.375		0 0 1 0	Left
1 1 1 0 0.07 0.375		0 0 1 0	Left
1 1 1 0 0.07 0.375		0 0 1 0	Left
1 1 1 0 0.07 0.250		1 0 0 0	Up
